fold,iteration,train_mlogloss,valid_mlogloss,train_balanced_accuracy_sample,valid_balanced_accuracy,best_valid_balanced_accuracy_so_far,best_iteration_so_far,stale_chunks
1,150,0.13818973302841187,0.13914832472801208,0.9611736820873427,0.9598100746841428,0.9598100746841428,150,0
1,300,0.11626794189214706,0.11856351047754288,0.9665824147659016,0.9639337642661472,0.9639337642661472,300,0
1,450,0.1099933460354805,0.11306046694517136,0.968346033843044,0.9655051176366864,0.9655051176366864,450,0
1,600,0.10760138928890228,0.11097530275583267,0.969358291773521,0.9661716978746894,0.9661716978746894,600,0
1,750,0.10606548190116882,0.10974524170160294,0.9695730421713212,0.9665849041789926,0.9665849041789926,750,0
1,900,0.10486974567174911,0.1088016927242279,0.9698666330584439,0.9666259154970858,0.9666259154970858,900,0
1,1050,0.10400167107582092,0.10814450681209564,0.9699256108457414,0.9668384041977148,0.9668384041977148,1050,0
1,1200,0.10309396684169769,0.10747674852609634,0.9701193203833873,0.9670134455974836,0.9670134455974836,1200,0
1,1350,0.10253504663705826,0.1070900559425354,0.9701718398406404,0.9671322666499935,0.9671322666499935,1350,0
1,1500,0.10195089131593704,0.10664208233356476,0.970351739837569,0.9672067688716209,0.9672067688716209,1500,0
1,1650,0.10141544789075851,0.10623852908611298,0.9703334203986801,0.9672616809622658,0.9672616809622658,1650,0
1,1800,0.1010192409157753,0.10598508268594742,0.9706996386588503,0.9672714930993275,0.9672714930993275,1800,0
1,1950,0.10054747760295868,0.10567940771579742,0.970691514458785,0.9674000921457585,0.9674000921457585,1950,0
1,2100,0.10009372979402542,0.10537587106227875,0.970697322406322,0.9673926338643394,0.9674000921457585,1950,1
1,2250,0.09966984391212463,0.10510566085577011,0.9709431462324836,0.9674165411452563,0.9674165411452563,2250,0
1,2400,0.09927541017532349,0.10484792292118073,0.9710167065498911,0.9674995813904722,0.9674995813904722,2400,0
1,2550,0.09885608404874802,0.10456794500350952,0.9711653704478419,0.9674916642614213,0.9674995813904722,2400,1
1,2700,0.09833608567714691,0.10422953963279724,0.9711755656866652,0.9674956206587472,0.9674995813904722,2400,2
1,2850,0.09797122329473495,0.10403060913085938,0.971303839106969,0.9676075403724931,0.9676075403724931,2850,0
1,3000,0.0976736843585968,0.10389936715364456,0.9712834486293221,0.967605577078201,0.9676075403724931,2850,1
1,3150,0.09729713201522827,0.10368851572275162,0.9714830887213902,0.9676035156888857,0.9676075403724931,2850,2
1,3300,0.09684396535158157,0.10342913866043091,0.9716142061698445,0.9675793780747813,0.9676075403724931,2850,3
1,3450,0.09653855115175247,0.10326758027076721,0.9717183522037224,0.9675945529608061,0.9676075403724931,2850,4
1,3600,0.0961359366774559,0.10306421667337418,0.9718107597356412,0.9676996694308109,0.9676996694308109,3600,0
1,3750,0.09588880836963654,0.10294470936059952,0.9719230299695845,0.9676577727418523,0.9676996694308109,3600,1
1,3900,0.09557737410068512,0.10278693586587906,0.9719041827550733,0.9677314596976383,0.9677314596976383,3900,0
1,4050,0.09527512639760971,0.10266101360321045,0.9720078010133286,0.9677437237853658,0.9677437237853658,4050,0
1,4200,0.0949893519282341,0.10254660993814468,0.9721323375248535,0.9678069777095525,0.9678069777095525,4200,0
1,4350,0.0946735367178917,0.10240471363067627,0.9722402204675102,0.9677770184988533,0.9678069777095525,4200,1
1,4500,0.09435258060693741,0.10223980247974396,0.9721381454723906,0.967857997354754,0.967857997354754,4500,0
2,150,0.13703584671020508,0.13572104275226593,0.960383059220094,0.9621344143814822,0.9621344143814822,150,0
2,300,0.1160990446805954,0.11547289043664932,0.9650013064685226,0.9654123210695448,0.9654123210695448,300,0
2,450,0.1099931076169014,0.11011957377195358,0.9666003662054239,0.9669819756221196,0.9669819756221196,450,0
2,600,0.107248455286026,0.10784335434436798,0.967562470164673,0.9674324330372365,0.9674324330372365,600,0
2,750,0.10538482666015625,0.10635367035865784,0.9681276591560283,0.9678045597371648,0.9678045597371648,750,0
2,900,0.10405929386615753,0.10534431040287018,0.9684925466013347,0.9680318967143506,0.9680318967143506,900,0
2,1050,0.10326164215803146,0.10477487742900848,0.9687350005264275,0.9681566374584788,0.9681566374584788,1050,0
2,1200,0.10249673575162888,0.1042030081152916,0.9691856835639386,0.96826950467623,0.96826950467623,1200,0
2,1350,0.10184181481599808,0.10378177464008331,0.969455997511203,0.9684195590529123,0.9684195590529123,1350,0
2,1500,0.10124559700489044,0.10339677333831787,0.9695074426428382,0.9686610594602351,0.9686610594602351,1500,0
2,1650,0.10067956894636154,0.10301104933023453,0.9696488326314912,0.9685632646990866,0.9686610594602351,1500,1
2,1800,0.10022640973329544,0.10274314880371094,0.9697939289799513,0.9685681046485354,0.9686610594602351,1500,2
2,1950,0.09965679794549942,0.1023930236697197,0.9702075311844484,0.9686607608407666,0.9686610594602351,1500,3
2,2100,0.09923245757818222,0.10212703049182892,0.9703243783118779,0.9687093285353022,0.9687093285353022,2100,0
2,2250,0.09879474341869354,0.10188088566064835,0.9703187919190936,0.9687976675775988,0.9687976675775988,2250,0
2,2400,0.09838595986366272,0.10165130347013474,0.9705056514477385,0.968851109364724,0.968851109364724,2400,0
2,2550,0.0980159193277359,0.10144668072462082,0.9706721173799724,0.9688898649221981,0.9688898649221981,2550,0
2,2700,0.09757107496261597,0.10120309889316559,0.970740249748211,0.9689610657841777,0.9689610657841777,2700,0
2,2850,0.09702267497777939,0.10090351849794388,0.9710495427970693,0.9688996087729782,0.9689610657841777,2700,1
2,3000,0.09672124683856964,0.1007842868566513,0.9711672939701125,0.9689737204332554,0.9689737204332554,3000,0
2,3150,0.09645568579435349,0.10065985471010208,0.9713611050777636,0.9689957966580444,0.9689957966580444,3150,0
2,3300,0.09617745876312256,0.10051490366458893,0.9713383703077677,0.9690291894665553,0.9690291894665553,3300,0
2,3450,0.09584314376115799,0.10034089535474777,0.9714844426435909,0.9690659177778547,0.9690659177778547,3450,0
2,3600,0.09551062434911728,0.10018939524888992,0.9716689609986505,0.9691154671195363,0.9691154671195363,3600,0
2,3750,0.09525687247514725,0.10006500035524368,0.9716916957686464,0.9691665209078785,0.9691665209078785,3750,0
2,3900,0.09502188116312027,0.09995218366384506,0.971791394518864,0.9691527182303501,0.9691665209078785,3750,1
2,4050,0.09474526345729828,0.09981562942266464,0.9718910932690817,0.9691733881035018,0.9691733881035018,4050,0
2,4200,0.09442173689603806,0.09965812414884567,0.9719114868654924,0.9691678931163749,0.9691733881035018,4050,1
2,4350,0.09412665665149689,0.09950169175863266,0.971900314079924,0.9691987998310795,0.9691987998310795,4350,0
2,4500,0.09385515004396439,0.09937074780464172,0.9719466876655297,0.9692257160053172,0.9692257160053172,4500,0
3,150,0.13582850992679596,0.13997039198875427,0.9620201998725205,0.9603616569225814,0.9603616569225814,150,0
3,300,0.11489054560661316,0.11993597447872162,0.966328433825279,0.9642470232256173,0.9642470232256173,300,0
3,450,0.10899439454078674,0.1145944744348526,0.9676464587308011,0.9654498710953702,0.9654498710953702,450,0
3,600,0.10638931393623352,0.11223246157169342,0.9681886350839698,0.9660952330420777,0.9660952330420777,600,0
3,750,0.10465468466281891,0.11073616147041321,0.9686876143118827,0.9668561232061585,0.9668561232061585,750,0
3,900,0.10344981402158737,0.10971300303936005,0.9693000704504704,0.967206676414369,0.967206676414369,900,0
3,1050,0.10228540003299713,0.10878463089466095,0.9696424696826788,0.9672807539315054,0.9672807539315054,1050,0
3,1200,0.10143427550792694,0.10811322927474976,0.9697116140766644,0.9675620671364538,0.9675620671364538,1200,0
3,1350,0.10065989941358566,0.1075318306684494,0.970012201605258,0.9677914100755838,0.9677914100755838,1350,0
3,1500,0.1000363677740097,0.10708872973918915,0.9702164473895579,0.9678879196989683,0.9678879196989683,1500,0
3,1650,0.09959428012371063,0.10677991807460785,0.9705207952786185,0.9679478051950133,0.9679478051950133,1650,0
3,1800,0.09912017732858658,0.10644786059856415,0.9707250410629182,0.9680784717196963,0.9680784717196963,1800,0
3,1950,0.09857689589262009,0.10609239339828491,0.9708871939292916,0.968127039414232,0.968127039414232,1950,0
3,2100,0.09812689572572708,0.10581354796886444,0.9711216891214938,0.9682590081065922,0.9682590081065922,2100,0
3,2250,0.0977645292878151,0.10557285696268082,0.971089064774766,0.9683664796500269,0.9683664796500269,2250,0
3,2400,0.09736260771751404,0.10534530878067017,0.9711688131313837,0.9683919894726275,0.9683919894726275,2400,0
3,2550,0.09687379002571106,0.10501343011856079,0.9711704797673367,0.9685318070077571,0.9685318070077571,2550,0
3,2700,0.0963972881436348,0.10472003370523453,0.9712769983857018,0.9685975116648224,0.9685975116648224,2700,0
3,2850,0.09604749083518982,0.10451193898916245,0.9715773046999835,0.9687241852134639,0.9687241852134639,2850,0
3,3000,0.09571731090545654,0.10432928055524826,0.9717126873046097,0.9687864562727174,0.9687864562727174,3000,0
3,3150,0.09534693509340286,0.10413762927055359,0.9719169330889096,0.9687653263341464,0.9687864562727174,3000,1
3,3300,0.09502611309289932,0.10395587980747223,0.9721450117675072,0.9687357881745764,0.9687864562727174,3000,2
3,3450,0.09464676678180695,0.1037660613656044,0.9723733716604167,0.9688354108752414,0.9688354108752414,3450,0
3,3600,0.09427492320537567,0.10358690470457077,0.9725002440269245,0.968851566190625,0.968851566190625,3600,0
3,3750,0.09398945420980453,0.10343123972415924,0.9727360099506231,0.9689315999780949,0.9689315999780949,3750,0
3,3900,0.09371739625930786,0.10329776257276535,0.9727956857734101,0.9688564700919563,0.9689315999780949,3750,1
3,4050,0.09336715936660767,0.10313727706670761,0.9729300788608516,0.9688971889437225,0.9689315999780949,3750,2
3,4200,0.09314578771591187,0.10305415838956833,0.9730770237611903,0.968891268034317,0.9689315999780949,3750,3
3,4350,0.09279684722423553,0.10288549214601517,0.9732114168486318,0.9689491902360698,0.9689491902360698,4350,0
3,4500,0.09252958744764328,0.10277052968740463,0.9733749551366463,0.9688445575512893,0.9689491902360698,4350,1
4,150,0.13587772846221924,0.1394883245229721,0.9628147740921142,0.9598275927097398,0.9598275927097398,150,0
4,300,0.114549919962883,0.11875510215759277,0.9670735266920363,0.9640592929760913,0.9640592929760913,300,0
4,450,0.10870321094989777,0.11337536573410034,0.9685862037368844,0.9655533155804529,0.9655533155804529,450,0
4,600,0.1063629686832428,0.11127498745918274,0.969341209772303,0.9657664623582666,0.9657664623582666,600,0
4,750,0.10487240552902222,0.11000674962997437,0.9698151586561284,0.9662651365152395,0.9662651365152395,750,0
4,900,0.10383443534374237,0.10910141468048096,0.9699806724756589,0.9664278218050689,0.9664278218050689,900,0
4,1050,0.10312166810035706,0.10853609442710876,0.9703086162701914,0.966642928230387,0.966642928230387,1050,0
4,1200,0.10235308855772018,0.10786156356334686,0.9704200474899917,0.9668445963744721,0.9668445963744721,1200,0
4,1350,0.10180919617414474,0.10744839906692505,0.9705598210617703,0.9670159147465077,0.9670159147465077,1350,0
4,1500,0.10130453109741211,0.10706113278865814,0.9707111796624258,0.9670448569523579,0.9670448569523579,1500,0
4,1650,0.10068758577108383,0.10663978010416031,0.9708564889213777,0.9672633354527297,0.9672633354527297,1650,0
4,1800,0.10023044049739838,0.10634331405162811,0.971116345158887,0.9673394731446191,0.9673394731446191,1800,0
4,1950,0.09979245811700821,0.1060350313782692,0.9712395435833745,0.967332571805855,0.9673394731446191,1800,1
4,2100,0.09935615211725235,0.10574762523174286,0.9713957420408622,0.9674469782206883,0.9674469782206883,2100,0
4,2250,0.09897133708000183,0.10552234202623367,0.9714467088818354,0.9675225943276257,0.9675225943276257,2250,0
4,2400,0.09863825887441635,0.10532039403915405,0.971627951756734,0.9675549086085297,0.9675549086085297,2400,0
4,2550,0.09830072522163391,0.10514691472053528,0.9716529961741446,0.9675067308680632,0.9675549086085297,2400,1
4,2700,0.09791000932455063,0.10493199527263641,0.9718107365538965,0.9675591922226046,0.9675591922226046,2700,0
4,2850,0.0974927544593811,0.10470805317163467,0.9721505978146986,0.9676897557778897,0.9676897557778897,2850,0
4,3000,0.09707941114902496,0.10448388010263443,0.9724472656743061,0.9678316359168971,0.9678316359168971,3000,0
4,3150,0.09679462760686874,0.10431820899248123,0.9724676524106953,0.9678379803130063,0.9678379803130063,3150,0
4,3300,0.09649866819381714,0.10415633767843246,0.972506005955058,0.9679160825137502,0.9679160825137502,3300,0
4,3450,0.09611956775188446,0.1039818599820137,0.9725955085162044,0.9680348432580644,0.9680348432580644,3450,0
4,3600,0.09576831758022308,0.10380177944898605,0.9728412095348387,0.968081385528269,0.968081385528269,3600,0
4,3750,0.09544603526592255,0.10364265739917755,0.9728538228314494,0.9681102668186421,0.9681102668186421,3750,0
4,3900,0.09515851736068726,0.10350862890481949,0.9729816789369585,0.9680852438305716,0.9681102668186421,3750,1
4,4050,0.0948859304189682,0.10336893051862717,0.9731276840262515,0.9682020400660315,0.9682020400660315,4050,0
4,4200,0.0946006327867508,0.10322029143571854,0.9731755351084675,0.9681828398891182,0.9682020400660315,4050,1
4,4350,0.09435781091451645,0.10310192406177521,0.9732980377026141,0.9682978032466064,0.9682978032466064,4350,0
4,4500,0.09402672201395035,0.10295825451612473,0.9733458887848303,0.9682127643493956,0.9682978032466064,4350,1
5,150,0.13706433773040771,0.14207905530929565,0.9629496025180706,0.9592930227960387,0.9592930227960387,150,0
5,300,0.11598614603281021,0.12140185385942459,0.9668292080657711,0.9632866908853049,0.9632866908853049,300,0
5,450,0.10983780026435852,0.11561442911624908,0.9681662473008418,0.9645085281185602,0.9645085281185602,450,0
5,600,0.10739292949438095,0.11323945969343185,0.9685587937074661,0.9653237021462239,0.9653237021462239,600,0
5,750,0.10600810497999191,0.11201254278421402,0.9688173248337262,0.9655243526781786,0.9655243526781786,750,0
5,900,0.10490736365318298,0.1110164225101471,0.9693464544465732,0.9659519576040547,0.9659519576040547,900,0
5,1050,0.10412244498729706,0.11034785956144333,0.9695845262612891,0.9661575194081456,0.9661575194081456,1050,0
5,1200,0.1033981442451477,0.10974772274494171,0.969715596353848,0.9662800677393567,0.9662800677393567,1200,0
5,1350,0.10278013348579407,0.10923811048269272,0.9699582292548246,0.9663177441619425,0.9663177441619425,1350,0
5,1500,0.10202208161354065,0.10863662511110306,0.9701664977793757,0.9665209770608838,0.9665209770608838,1500,0
5,1650,0.10147935897111893,0.10822808742523193,0.9702529738397366,0.9665611395772761,0.9665611395772761,1650,0
5,1800,0.10092594474554062,0.10780289769172668,0.9705189335121392,0.9665227745811524,0.9665611395772761,1650,1
5,1950,0.10047223418951035,0.1074855625629425,0.9705923788070985,0.9665334379490395,0.9665611395772761,1650,2
5,2100,0.10004115849733353,0.10719670355319977,0.9707160867037669,0.9665667953998475,0.9665667953998475,2100,0
5,2250,0.099677674472332,0.10694406926631927,0.9710898560475543,0.9665186176593811,0.9665667953998475,2100,1
5,2400,0.09924321621656418,0.10663813352584839,0.9711410043264147,0.9666810701837979,0.9666810701837979,2400,0
5,2550,0.09891180694103241,0.10642463713884354,0.9713214513435311,0.9667409544620557,0.9667409544620557,2550,0
5,2700,0.09842383861541748,0.10611452162265778,0.9713177759344219,0.966871518017341,0.966871518017341,2700,0
5,2850,0.09801507741212845,0.10585437715053558,0.9714395683986119,0.9668753763196437,0.9668753763196437,2850,0
5,3000,0.0977034941315651,0.10566959530115128,0.9715251587818216,0.9669136450425876,0.9669136450425876,3000,0
5,3150,0.09728723019361496,0.10542025417089462,0.9717390181479604,0.9670363250046815,0.9670363250046815,3150,0
5,3300,0.09685896337032318,0.1051548644900322,0.9719036446677171,0.9670186286671473,0.9670363250046815,3150,1
5,3450,0.09646154195070267,0.10493291169404984,0.9721212571708889,0.9670902548408992,0.9670902548408992,3450,0
5,3600,0.09611151367425919,0.10475406050682068,0.9722495261538179,0.9671054297269239,0.9671054297269239,3600,0
5,3750,0.09575087577104568,0.10457996279001236,0.9721565072244657,0.9672458669420289,0.9672458669420289,3750,0
5,3900,0.09540069103240967,0.10439084470272064,0.9723945790391818,0.9672330111612246,0.9672458669420289,3750,1
5,4050,0.09508070349693298,0.10423154383897781,0.9723666911814951,0.9672266314074126,0.9672458669420289,3750,2
5,4200,0.09476537257432938,0.10410504043102264,0.9725191726130014,0.967304308296384,0.967304308296384,4200,0
5,4350,0.09450837969779968,0.10399629175662994,0.9727703415433712,0.9673415594071978,0.9673415594071978,4350,0
5,4500,0.09424460679292679,0.10386288166046143,0.9728317194780036,0.9672977969116893,0.9673415594071978,4350,1
