candidate,seed,fold,reference_score,score,delta_vs_reference
56_te_disagreement,20260623,1,0.9703535615676699,0.9703535615676699,0.0
68_research_material_stack,20260623,1,0.9703535615676699,0.970383975291602,3.0413723932087855e-05
69_guarded_research_stack,20260623,1,0.9703535615676699,0.9704933406252599,0.00013977905758999487
84_classwise_research_blend,20260623,1,0.9703535615676699,0.9703682434629223,1.46818952523331e-05
90_subset_guard_68_plus_84,20260623,1,0.9703535615676699,0.9703638282179644,1.026665029446594e-05
56_te_disagreement,20260623,2,0.9707152515985142,0.9707152515985142,0.0
68_research_material_stack,20260623,2,0.9707152515985142,0.9707932855129765,7.803391446226104e-05
69_guarded_research_stack,20260623,2,0.9707152515985142,0.9707633561110192,4.810451250492065e-05
84_classwise_research_blend,20260623,2,0.9707152515985142,0.9708011343557462,8.588275723198091e-05
90_subset_guard_68_plus_84,20260623,2,0.9707152515985142,0.9708310935664453,0.00011584196793101853
56_te_disagreement,20260623,3,0.9703448123640938,0.9703448123640938,0.0
68_research_material_stack,20260623,3,0.9703448123640938,0.9703255749979588,-1.9237366134960965e-05
69_guarded_research_stack,20260623,3,0.9703448123640938,0.9702598306455665,-8.49817185272217e-05
84_classwise_research_blend,20260623,3,0.9703448123640938,0.9703476512227477,2.8388586539307425e-06
90_subset_guard_68_plus_84,20260623,3,0.9703448123640938,0.9703520664677056,7.254103611797902e-06
56_te_disagreement,20260623,4,0.9708688401011772,0.9708688401011772,0.0
68_research_material_stack,20260623,4,0.9708688401011772,0.9708658226224897,-3.017478687583619e-06
69_guarded_research_stack,20260623,4,0.9708688401011772,0.9708678126891179,-1.0274120593178893e-06
84_classwise_research_blend,20260623,4,0.9708688401011772,0.9708658226224897,-3.017478687583619e-06
90_subset_guard_68_plus_84,20260623,4,0.9708688401011772,0.9708702378674475,1.3977662702835403e-06
56_te_disagreement,20260623,5,0.9705804986861851,0.9705804986861851,0.0
68_research_material_stack,20260623,5,0.9705804986861851,0.9706457097484217,6.52110622365587e-05
69_guarded_research_stack,20260623,5,0.9705804986861851,0.9705911778119171,1.06791257319383e-05
84_classwise_research_blend,20260623,5,0.9705804986861851,0.9707238119491656,0.000143313262980449
90_subset_guard_68_plus_84,20260623,5,0.9705804986861851,0.9707193967042077,0.00013889801802258184
56_te_disagreement,20260624,1,0.971522440981888,0.971522440981888,0.0
68_research_material_stack,20260624,1,0.971522440981888,0.9715680295918446,4.558860995662606e-05
69_guarded_research_stack,20260624,1,0.971522440981888,0.9716259505758101,0.00010350959392213532
84_classwise_research_blend,20260624,1,0.971522440981888,0.9716234986251445,0.00010105764325651911
90_subset_guard_68_plus_84,20260624,1,0.971522440981888,0.9716190833801868,9.664239829876298e-05
56_te_disagreement,20260624,2,0.970704273233629,0.970704273233629,0.0
68_research_material_stack,20260624,2,0.970704273233629,0.9707042049473475,-6.828628140720383e-08
69_guarded_research_stack,20260624,2,0.970704273233629,0.9707419447145348,3.7671480905832055e-05
84_classwise_research_blend,20260624,2,0.970704273233629,0.9707577448294961,5.347159586710504e-05
90_subset_guard_68_plus_84,20260624,2,0.970704273233629,0.9707489143395804,4.464110595148174e-05
56_te_disagreement,20260624,3,0.9701175611597711,0.9701175611597711,0.0
68_research_material_stack,20260624,3,0.9701175611597711,0.9702000115369787,8.245037720755466e-05
69_guarded_research_stack,20260624,3,0.9701175611597711,0.9703020508273813,0.00018448966761019925
84_classwise_research_blend,20260624,3,0.9701175611597711,0.97017737593396,5.9814774188926556e-05
90_subset_guard_68_plus_84,20260624,3,0.9701175611597711,0.9701842784905116,6.671733074048447e-05
56_te_disagreement,20260624,4,0.9704125061350052,0.9704125061350052,0.0
68_research_material_stack,20260624,4,0.9704125061350052,0.9703987290152508,-1.3777119754365685e-05
69_guarded_research_stack,20260624,4,0.9704125061350052,0.9702245503531847,-0.00018795578182051464
84_classwise_research_blend,20260624,4,0.9704125061350052,0.9704075595051664,-4.946629838742389e-06
90_subset_guard_68_plus_84,20260624,4,0.9704125061350052,0.9704208052400398,8.299105034637044e-06
56_te_disagreement,20260624,5,0.9701061834049528,0.9701061834049528,0.0
68_research_material_stack,20260624,5,0.9701061834049528,0.9701433991580636,3.7215753110775296e-05
69_guarded_research_stack,20260624,5,0.9701061834049528,0.9700810189860705,-2.5164418882339668e-05
84_classwise_research_blend,20260624,5,0.9701061834049528,0.970140487752485,3.430434753215472e-05
90_subset_guard_68_plus_84,20260624,5,0.9701061834049528,0.9701635462317011,5.736282674828619e-05
56_te_disagreement,20260625,1,0.9694944933394863,0.9694944933394863,0.0
68_research_material_stack,20260625,1,0.9694944933394863,0.9694448415683824,-4.9651771103942366e-05
69_guarded_research_stack,20260625,1,0.9694944933394863,0.9695355642750633,4.107093557692565e-05
84_classwise_research_blend,20260625,1,0.9694944933394863,0.9694845787730025,-9.914566483804066e-06
90_subset_guard_68_plus_84,20260625,1,0.9694944933394863,0.9694801635280448,-1.4329811441560203e-05
56_te_disagreement,20260625,2,0.9709461518960193,0.9709461518960193,0.0
68_research_material_stack,20260625,2,0.9709461518960193,0.9709170719030439,-2.9079992975411528e-05
69_guarded_research_stack,20260625,2,0.9709461518960193,0.9708042301596355,-0.0001419217363838321
84_classwise_research_blend,20260625,2,0.9709461518960193,0.9709504647115548,4.312815535478798e-06
90_subset_guard_68_plus_84,20260625,2,0.9709461518960193,0.9709504647115548,4.312815535478798e-06
56_te_disagreement,20260625,3,0.9705967418563812,0.9705967418563812,0.0
68_research_material_stack,20260625,3,0.9705967418563812,0.9706761809046934,7.943904831220205e-05
69_guarded_research_stack,20260625,3,0.9705967418563812,0.9707812315239913,0.00018448966761008823
84_classwise_research_blend,20260625,3,0.9705967418563812,0.9706865170590566,8.977520267539063e-05
90_subset_guard_68_plus_84,20260625,3,0.9705967418563812,0.970720892732501,0.00012415087611972186
56_te_disagreement,20260625,4,0.9699801422643001,0.9699801422643001,0.0
68_research_material_stack,20260625,4,0.9699801422643001,0.9700616420978716,8.149983357153001e-05
69_guarded_research_stack,20260625,4,0.9699801422643001,0.9700508470991016,7.070483480153822e-05
84_classwise_research_blend,20260625,4,0.9699801422643001,0.9700704725877872,9.033032348715331e-05
90_subset_guard_68_plus_84,20260625,4,0.9699801422643001,0.9700793030777027,9.916081340266558e-05
56_te_disagreement,20260625,5,0.9718454295184987,0.9718454295184987,0.0
68_research_material_stack,20260625,5,0.9718454295184987,0.9719146305139211,6.920099542240266e-05
69_guarded_research_stack,20260625,5,0.9718454295184987,0.9718036472896894,-4.178222880935056e-05
84_classwise_research_blend,20260625,5,0.9718454295184987,0.9719146305139211,6.920099542240266e-05
90_subset_guard_68_plus_84,20260625,5,0.9718454295184987,0.9719058000240056,6.037050550689038e-05
56_te_disagreement,20260626,1,0.9700642001490892,0.9700642001490892,0.0
68_research_material_stack,20260626,1,0.9700642001490892,0.9700631502156618,-1.0499334274216565e-06
69_guarded_research_stack,20260626,1,0.9700642001490892,0.9700400240574453,-2.4176091643957065e-05
84_classwise_research_blend,20260626,1,0.9700642001490892,0.9700965430241726,3.234287508335765e-05
90_subset_guard_68_plus_84,20260626,1,0.9700642001490892,0.9701053735140882,4.1173364998980944e-05
56_te_disagreement,20260626,2,0.9702390788050383,0.9702390788050383,0.0
68_research_material_stack,20260626,2,0.9702390788050383,0.9703710773061403,0.00013199850110190425
69_guarded_research_stack,20260626,2,0.9702390788050383,0.9704142139654314,0.00017513516039302512
84_classwise_research_blend,20260626,2,0.9702390788050383,0.9703956396247356,0.0001565608196972823
90_subset_guard_68_plus_84,20260626,2,0.9702390788050383,0.97038680913482,0.000147730329781659
56_te_disagreement,20260626,3,0.9708358262107168,0.9708358262107168,0.0
68_research_material_stack,20260626,3,0.9708358262107168,0.9708583910918792,2.256488116236799e-05
69_guarded_research_stack,20260626,3,0.9708358262107168,0.9709011042644665,6.527805374967333e-05
84_classwise_research_blend,20260626,3,0.9708358262107168,0.970884882561626,4.9056350909126856e-05
90_subset_guard_68_plus_84,20260626,3,0.9708358262107168,0.9709050308530509,6.92046423340642e-05
56_te_disagreement,20260626,4,0.9709271302247916,0.9709271302247916,0.0
68_research_material_stack,20260626,4,0.9709271302247916,0.9709108670112307,-1.626321356085203e-05
69_guarded_research_stack,20260626,4,0.9709271302247916,0.9708770037333156,-5.0126491475954715e-05
84_classwise_research_blend,20260626,4,0.9709271302247916,0.9709152822561885,-1.1847968603095893e-05
90_subset_guard_68_plus_84,20260626,4,0.9709271302247916,0.9709108670112307,-1.626321356085203e-05
56_te_disagreement,20260626,5,0.9707967532579502,0.9707967532579502,0.0
68_research_material_stack,20260626,5,0.9707967532579502,0.9708109105318448,1.4157273894532807e-05
69_guarded_research_stack,20260626,5,0.9707967532579502,0.9707431937759435,-5.355948200669314e-05
84_classwise_research_blend,20260626,5,0.9707967532579502,0.9708143435223754,1.7590264425160207e-05
90_subset_guard_68_plus_84,20260626,5,0.9707967532579502,0.9708285715116759,3.181825372566838e-05
56_te_disagreement,20260627,1,0.9701435746445638,0.9701435746445638,0.0
68_research_material_stack,20260627,1,0.9701435746445638,0.9701120427009228,-3.153194364102774e-05
69_guarded_research_stack,20260627,1,0.9701435746445638,0.9700404128000532,-0.00010316184451064636
84_classwise_research_blend,20260627,1,0.9701435746445638,0.9701410202644759,-2.5543800878935485e-06
90_subset_guard_68_plus_84,20260627,1,0.9701435746445638,0.9701454355094338,1.8608648699736108e-06
56_te_disagreement,20260627,2,0.9702656777355202,0.9702656777355202,0.0
68_research_material_stack,20260627,2,0.9702656777355202,0.9703662467224033,0.00010056898688315385
69_guarded_research_stack,20260627,2,0.9702656777355202,0.9702926535272415,2.697579172128428e-05
84_classwise_research_blend,20260627,2,0.9702656777355202,0.9703593453836392,9.36676481190224e-05
90_subset_guard_68_plus_84,20260627,2,0.9702656777355202,0.970375077212319,0.00010939947679877715
56_te_disagreement,20260627,3,0.9708775821561094,0.9708775821561094,0.0
68_research_material_stack,20260627,3,0.9708775821561094,0.9708250171511335,-5.25650049759685e-05
69_guarded_research_stack,20260627,3,0.9708775821561094,0.9709686905529912,9.110839688175609e-05
84_classwise_research_blend,20260627,3,0.9708775821561094,0.9708760721572628,-1.5099988466271697e-06
90_subset_guard_68_plus_84,20260627,3,0.9708775821561094,0.9708672416673472,-1.0340488762250466e-05
56_te_disagreement,20260627,4,0.9712586282702215,0.9712586282702215,0.0
68_research_material_stack,20260627,4,0.9712586282702215,0.9713484016510535,8.977338083204778e-05
69_guarded_research_stack,20260627,4,0.9712586282702215,0.971335146116251,7.65178460295779e-05
84_classwise_research_blend,20260627,4,0.9712586282702215,0.9713877135439014,0.00012908527367994083
90_subset_guard_68_plus_84,20260627,4,0.9712586282702215,0.9714063567781598,0.00014772850793831616
56_te_disagreement,20260627,5,0.970317513139869,0.970317513139869,0.0
68_research_material_stack,20260627,5,0.970317513139869,0.9703626734016481,4.516026177903143e-05
69_guarded_research_stack,20260627,5,0.970317513139869,0.9703386228680757,2.1109728206680778e-05
84_classwise_research_blend,20260627,5,0.970317513139869,0.9703425263280105,2.5013188141520537e-05
90_subset_guard_68_plus_84,20260627,5,0.970317513139869,0.9703425263280105,2.5013188141520537e-05
56_te_disagreement,20260628,1,0.9706661542544087,0.9706661542544087,0.0
68_research_material_stack,20260628,1,0.9706661542544087,0.9706896666395766,2.3512385167845373e-05
69_guarded_research_stack,20260628,1,0.9706661542544087,0.9707117385299665,4.5584275557786214e-05
84_classwise_research_blend,20260628,1,0.9706661542544087,0.9706955863311947,2.943207678596238e-05
90_subset_guard_68_plus_84,20260628,1,0.9706661542544087,0.9707142289581719,4.8074703763223425e-05
56_te_disagreement,20260628,2,0.9707112119281045,0.9707112119281045,0.0
68_research_material_stack,20260628,2,0.9707112119281045,0.9707356078653951,2.4395937290644376e-05
69_guarded_research_stack,20260628,2,0.9707112119281045,0.970816977282646,0.00010576535454154268
84_classwise_research_blend,20260628,2,0.9707112119281045,0.9707532688452263,4.2056917121779946e-05
90_subset_guard_68_plus_84,20260628,2,0.9707112119281045,0.9707532688452263,4.2056917121779946e-05
56_te_disagreement,20260628,3,0.9700563864992459,0.9700563864992459,0.0
68_research_material_stack,20260628,3,0.9700563864992459,0.9700971363775411,4.074987829527643e-05
69_guarded_research_stack,20260628,3,0.9700563864992459,0.9701840019997063,0.0001276155004604762
84_classwise_research_blend,20260628,3,0.9700563864992459,0.9701078948008207,5.150830157485409e-05
90_subset_guard_68_plus_84,20260628,3,0.9700563864992459,0.97011921260233,6.282610308416814e-05
56_te_disagreement,20260628,4,0.96992738229029,0.96992738229029,0.0
68_research_material_stack,20260628,4,0.96992738229029,0.9700142442655437,8.686197525376027e-05
69_guarded_research_stack,20260628,4,0.96992738229029,0.9698611340160651,-6.624827422485602e-05
84_classwise_research_blend,20260628,4,0.96992738229029,0.9700388065841389,0.00011142429384891628
90_subset_guard_68_plus_84,20260628,4,0.96992738229029,0.9700432218290967,0.00011583953880678344
56_te_disagreement,20260628,5,0.9715018153813504,0.9715018153813504,0.0
68_research_material_stack,20260628,5,0.9715018153813504,0.9714777039323012,-2.4111449049235567e-05
69_guarded_research_stack,20260628,5,0.9715018153813504,0.9714016527136625,-0.00010016266768786419
84_classwise_research_blend,20260628,5,0.9715018153813504,0.9715110967408122,9.281359461765781e-06
90_subset_guard_68_plus_84,20260628,5,0.9715018153813504,0.9715066814958543,4.866114503898622e-06
56_te_disagreement,20260629,1,0.9707719624208891,0.9707719624208891,0.0
68_research_material_stack,20260629,1,0.9707719624208891,0.9707670541851586,-4.908235730516353e-06
69_guarded_research_stack,20260629,1,0.9707719624208891,0.9708941146417885,0.00012215222089939637
84_classwise_research_blend,20260629,1,0.9707719624208891,0.9708112066347366,3.924421384748911e-05
90_subset_guard_68_plus_84,20260629,1,0.9707719624208891,0.9707935456549054,2.1583234016242514e-05
56_te_disagreement,20260629,2,0.9711689630620782,0.9711689630620782,0.0
68_research_material_stack,20260629,2,0.9711689630620782,0.9711841677568448,1.5204694766568494e-05
69_guarded_research_stack,20260629,2,0.9711689630620782,0.9712091845886729,4.0221526594663715e-05
84_classwise_research_blend,20260629,2,0.9711689630620782,0.9712087300754401,3.9767013361835524e-05
90_subset_guard_68_plus_84,20260629,2,0.9711689630620782,0.9712043148304823,3.535176840407939e-05
56_te_disagreement,20260629,3,0.9702148776878818,0.9702148776878818,0.0
68_research_material_stack,20260629,3,0.9702148776878818,0.9702889198440902,7.404215620832044e-05
69_guarded_research_stack,20260629,3,0.9702148776878818,0.9703331033201971,0.00011822563231522754
84_classwise_research_blend,20260629,3,0.9702148776878818,0.9702511105728341,3.6232884952247524e-05
90_subset_guard_68_plus_84,20260629,3,0.9702148776878818,0.9702845045991323,6.962691125045328e-05
56_te_disagreement,20260629,4,0.9706975374869865,0.9706975374869865,0.0
68_research_material_stack,20260629,4,0.9706975374869865,0.970766642209229,6.910472224253006e-05
69_guarded_research_stack,20260629,4,0.9706975374869865,0.97053797676829,-0.00015956071869649424
84_classwise_research_blend,20260629,4,0.9706975374869865,0.9707990527633127,0.00010151527632618063
90_subset_guard_68_plus_84,20260629,4,0.9706975374869865,0.9708176959975711,0.00012015851058455596
56_te_disagreement,20260629,5,0.9700096060551023,0.9700096060551023,0.0
68_research_material_stack,20260629,5,0.9700096060551023,0.9700075708308421,-2.0352242602328374e-06
69_guarded_research_stack,20260629,5,0.9700096060551023,0.970001120361624,-8.485693478332834e-06
84_classwise_research_blend,20260629,5,0.9700096060551023,0.9700365483943952,2.694233929290135e-05
90_subset_guard_68_plus_84,20260629,5,0.9700096060551023,0.9700365483943952,2.694233929290135e-05
56_te_disagreement,20260630,1,0.971380173314835,0.971380173314835,0.0
68_research_material_stack,20260630,1,0.971380173314835,0.9713776189347471,-2.5543800878935485e-06
69_guarded_research_stack,20260630,1,0.971380173314835,0.9714560775537006,7.590423886560949e-05
84_classwise_research_blend,20260630,1,0.971380173314835,0.9714011996061963,2.102629136135903e-05
90_subset_guard_68_plus_84,20260630,1,0.971380173314835,0.9714110117432581,3.08384284231078e-05
56_te_disagreement,20260630,2,0.9699115640992337,0.9699115640992337,0.0
68_research_material_stack,20260630,2,0.9699115640992337,0.969983678322078,7.211422284425506e-05
69_guarded_research_stack,20260630,2,0.9699115640992337,0.9700288422275438,0.00011727812831008322
84_classwise_research_blend,20260630,2,0.9699115640992337,0.9700126558856311,0.00010109178639738925
90_subset_guard_68_plus_84,20260630,2,0.9699115640992337,0.9700082406406733,9.667654143952209e-05
56_te_disagreement,20260630,3,0.9708900563471848,0.9708900563471848,0.0
68_research_material_stack,20260630,3,0.9708900563471848,0.9708625125084359,-2.754383874892241e-05
69_guarded_research_stack,20260630,3,0.9708900563471848,0.9707957201214404,-9.433622574439582e-05
84_classwise_research_blend,20260630,3,0.9708900563471848,0.9708600251968421,-3.003115034272419e-05
90_subset_guard_68_plus_84,20260630,3,0.9708900563471848,0.9708890039781827,-1.0523690021635446e-06
56_te_disagreement,20260630,4,0.9705373894065112,0.9705373894065112,0.0
68_research_material_stack,20260630,4,0.9705373894065112,0.9705624025946525,2.5013188141298492e-05
69_guarded_research_stack,20260630,4,0.9705373894065112,0.970508427600803,-2.896180570821638e-05
84_classwise_research_blend,20260630,4,0.9705373894065112,0.9705957954031635,5.840599665229984e-05
90_subset_guard_68_plus_84,20260630,4,0.9705373894065112,0.9705913801582057,5.399075169443268e-05
56_te_disagreement,20260630,5,0.9701437842507828,0.9701437842507828,0.0
68_research_material_stack,20260630,5,0.9701437842507828,0.9702281601322301,8.437588144727393e-05
69_guarded_research_stack,20260630,5,0.9701437842507828,0.9701864486188265,4.266436804367668e-05
84_classwise_research_blend,20260630,5,0.9701437842507828,0.9702369906221456,9.32063713627862e-05
90_subset_guard_68_plus_84,20260630,5,0.9701437842507828,0.9702369906221456,9.32063713627862e-05
56_te_disagreement,20260631,1,0.9702238697758728,0.9702238697758728,0.0
68_research_material_stack,20260631,1,0.9702238697758728,0.9702468593615263,2.2989585653498956e-05
69_guarded_research_stack,20260631,1,0.9702238697758728,0.9703042873547195,8.04175788466921e-05
84_classwise_research_blend,20260631,1,0.9702238697758728,0.9702502929593381,2.642318346524064e-05
90_subset_guard_68_plus_84,20260631,1,0.9702238697758728,0.970255689851442,3.182007556912225e-05
56_te_disagreement,20260631,2,0.9707332794840955,0.9707332794840955,0.0
68_research_material_stack,20260631,2,0.9707332794840955,0.9706772833168822,-5.599616721330136e-05
69_guarded_research_stack,20260631,2,0.9707332794840955,0.9706159244007061,-0.00011735508338939216
84_classwise_research_blend,20260631,2,0.9707332794840955,0.9707195066153088,-1.3772868786676717e-05
90_subset_guard_68_plus_84,20260631,2,0.9707332794840955,0.9707150913703511,-1.8188113744432854e-05
56_te_disagreement,20260631,3,0.9707995602370151,0.9707995602370151,0.0
68_research_material_stack,20260631,3,0.9707995602370151,0.9709060147723756,0.00010645453536051175
69_guarded_research_stack,20260631,3,0.9707995602370151,0.970828987979402,2.942774238690049e-05
84_classwise_research_blend,20260631,3,0.9707995602370151,0.9709015995274178,0.00010203929040275561
90_subset_guard_68_plus_84,20260631,3,0.9707995602370151,0.9709148452622912,0.00011528502527613504
56_te_disagreement,20260631,4,0.9710551919284255,0.9710551919284255,0.0
68_research_material_stack,20260631,4,0.9710551919284255,0.971045865411332,-9.326517093510844e-06
69_guarded_research_stack,20260631,4,0.9710551919284255,0.9710261338495375,-2.9058078887977956e-05
84_classwise_research_blend,20260631,4,0.9710551919284255,0.9710635263911631,8.334462737624726e-06
90_subset_guard_68_plus_84,20260631,4,0.9710551919284255,0.9710704277299272,1.5235801501756185e-05
56_te_disagreement,20260631,5,0.9700510592453194,0.9700510592453194,0.0
68_research_material_stack,20260631,5,0.9700510592453194,0.9701383465323451,8.728728702567246e-05
69_guarded_research_stack,20260631,5,0.9700510592453194,0.970200185519528,0.0001491262742085997
84_classwise_research_blend,20260631,5,0.9700510592453194,0.9701717393408561,0.0001206800955366738
90_subset_guard_68_plus_84,20260631,5,0.9700510592453194,0.9701805698307716,0.00012951058545218608
56_te_disagreement,20260632,1,0.9702770855642099,0.9702770855642099,0.0
68_research_material_stack,20260632,1,0.9702770855642099,0.9702809736752545,3.888111044569875e-06
69_guarded_research_stack,20260632,1,0.9702770855642099,0.9703353927751267,5.830721091681923e-05
84_classwise_research_blend,20260632,1,0.9702770855642099,0.9702755767831506,-1.5087810593117368e-06
90_subset_guard_68_plus_84,20260632,1,0.9702770855642099,0.9702898041651701,1.2718600960193172e-05
56_te_disagreement,20260632,2,0.9710054853847634,0.9710054853847634,0.0
68_research_material_stack,20260632,2,0.9710054853847634,0.9710428004474595,3.731506269610829e-05
69_guarded_research_stack,20260632,2,0.9710054853847634,0.9710589867893722,5.350140460880226e-05
84_classwise_research_blend,20260632,2,0.9710054853847634,0.9710894389908438,8.395360608037805e-05
90_subset_guard_68_plus_84,20260632,2,0.9710054853847634,0.971085023745886,7.953836112262191e-05
56_te_disagreement,20260632,3,0.9707498715138415,0.9707498715138415,0.0
68_research_material_stack,20260632,3,0.9707498715138415,0.9708018374452608,5.196593141931771e-05
69_guarded_research_stack,20260632,3,0.9707498715138415,0.970790057679508,4.0186165666478146e-05
84_classwise_research_blend,20260632,3,0.9707498715138415,0.970797422200303,4.755068646145055e-05
90_subset_guard_68_plus_84,20260632,3,0.9707498715138415,0.9708018374452608,5.196593141931771e-05
56_te_disagreement,20260632,4,0.9710253990990311,0.9710253990990311,0.0
68_research_material_stack,20260632,4,0.9710253990990311,0.9710998659629556,7.446686392453827e-05
69_guarded_research_stack,20260632,4,0.9710253990990311,0.9710733037778029,4.7904678771804043e-05
84_classwise_research_blend,20260632,4,0.9710253990990311,0.971113111697829,8.771259879791771e-05
90_subset_guard_68_plus_84,20260632,4,0.9710253990990311,0.9711376740164243,0.00011227491739318474
56_te_disagreement,20260632,5,0.9698051325013183,0.9698051325013183,0.0
68_research_material_stack,20260632,5,0.9698051325013183,0.9697889046454603,-1.622785585797537e-05
69_guarded_research_stack,20260632,5,0.9698051325013183,0.9697177902567314,-8.734224458684103e-05
84_classwise_research_blend,20260632,5,0.9698051325013183,0.9698311279438868,2.5995442568538252e-05
90_subset_guard_68_plus_84,20260632,5,0.9698051325013183,0.9698222974539713,1.7164952653025978e-05
