candidate,group,value,count,delta_vs_reference,changed_rows_vs_reference
56_te_disagreement,spectral_type,A/F,122122,0.0,0
56_te_disagreement,spectral_type,G/K,108546,0.0,0
56_te_disagreement,spectral_type,M,303323,0.0,0
56_te_disagreement,spectral_type,O/B,43356,0.0,0
56_te_disagreement,spectral_population,A/F_Blue_Cloud,111542,0.0,0
56_te_disagreement,spectral_population,A/F_Red_Sequence,10580,0.0,0
56_te_disagreement,spectral_population,G/K_Blue_Cloud,63918,0.0,0
56_te_disagreement,spectral_population,G/K_Red_Sequence,44628,0.0,0
56_te_disagreement,spectral_population,M_Blue_Cloud,40106,0.0,0
56_te_disagreement,spectral_population,M_Red_Sequence,263217,0.0,0
56_te_disagreement,spectral_population,O/B_Blue_Cloud,42216,0.0,0
56_te_disagreement,spectral_population,O/B_Red_Sequence,1140,0.0,0
56_te_disagreement,redshift_bin,0,57735,0.0,0
56_te_disagreement,redshift_bin,1,57735,0.0,0
56_te_disagreement,redshift_bin,2,57734,0.0,0
56_te_disagreement,redshift_bin,3,57735,0.0,0
56_te_disagreement,redshift_bin,4,57735,0.0,0
56_te_disagreement,redshift_bin,5,57734,0.0,0
56_te_disagreement,redshift_bin,6,57735,0.0,0
56_te_disagreement,redshift_bin,7,57734,0.0,0
56_te_disagreement,redshift_bin,8,57735,0.0,0
56_te_disagreement,redshift_bin,9,57735,0.0,0
56_te_disagreement,g_i_bin,0,57735,0.0,0
56_te_disagreement,g_i_bin,1,57735,0.0,0
56_te_disagreement,g_i_bin,2,57734,0.0,0
56_te_disagreement,g_i_bin,3,57735,0.0,0
56_te_disagreement,g_i_bin,4,57735,0.0,0
56_te_disagreement,g_i_bin,5,57734,0.0,0
56_te_disagreement,g_i_bin,6,57735,0.0,0
56_te_disagreement,g_i_bin,7,57734,0.0,0
56_te_disagreement,g_i_bin,8,57735,0.0,0
56_te_disagreement,g_i_bin,9,57735,0.0,0
56_te_disagreement,u_r_bin,0,57735,0.0,0
56_te_disagreement,u_r_bin,1,57735,0.0,0
56_te_disagreement,u_r_bin,2,57734,0.0,0
56_te_disagreement,u_r_bin,3,57735,0.0,0
56_te_disagreement,u_r_bin,4,57735,0.0,0
56_te_disagreement,u_r_bin,5,57734,0.0,0
56_te_disagreement,u_r_bin,6,57735,0.0,0
56_te_disagreement,u_r_bin,7,57734,0.0,0
56_te_disagreement,u_r_bin,8,57735,0.0,0
56_te_disagreement,u_r_bin,9,57735,0.0,0
56_te_disagreement,mag_range_bin,0,57735,0.0,0
56_te_disagreement,mag_range_bin,1,57735,0.0,0
56_te_disagreement,mag_range_bin,2,57734,0.0,0
56_te_disagreement,mag_range_bin,3,57735,0.0,0
56_te_disagreement,mag_range_bin,4,57735,0.0,0
56_te_disagreement,mag_range_bin,5,57734,0.0,0
56_te_disagreement,mag_range_bin,6,57735,0.0,0
56_te_disagreement,mag_range_bin,7,57734,0.0,0
56_te_disagreement,mag_range_bin,8,57735,0.0,0
56_te_disagreement,mag_range_bin,9,57735,0.0,0
68_research_material_stack,spectral_type,A/F,122122,0.0005671227116363919,58
68_research_material_stack,spectral_type,G/K,108546,-6.459055782004341e-05,71
68_research_material_stack,spectral_type,M,303323,-0.00018586886319771345,73
68_research_material_stack,spectral_type,O/B,43356,0.0007692446827574084,12
68_research_material_stack,spectral_population,A/F_Blue_Cloud,111542,0.0006361886571225606,54
68_research_material_stack,spectral_population,A/F_Red_Sequence,10580,0.00014590953608761836,4
68_research_material_stack,spectral_population,G/K_Blue_Cloud,63918,9.76751623630312e-05,47
68_research_material_stack,spectral_population,G/K_Red_Sequence,44628,-0.0004723375626545234,24
68_research_material_stack,spectral_population,M_Blue_Cloud,40106,-0.0003797778928653628,14
68_research_material_stack,spectral_population,M_Red_Sequence,263217,-2.9411566623727126e-05,59
68_research_material_stack,spectral_population,O/B_Blue_Cloud,42216,0.0007967697075145219,12
68_research_material_stack,spectral_population,O/B_Red_Sequence,1140,0.0,0
68_research_material_stack,redshift_bin,0,57735,0.00034435822986489395,39
68_research_material_stack,redshift_bin,1,57735,-0.0005593466131083025,47
68_research_material_stack,redshift_bin,2,57734,-8.484019340437854e-05,40
68_research_material_stack,redshift_bin,3,57735,-0.0004862530747516969,12
68_research_material_stack,redshift_bin,4,57735,4.212173180495604e-05,7
68_research_material_stack,redshift_bin,5,57734,-0.00017776935832813923,11
68_research_material_stack,redshift_bin,6,57735,-0.0001411120892047535,13
68_research_material_stack,redshift_bin,7,57734,-8.825255783395658e-05,11
68_research_material_stack,redshift_bin,8,57735,0.0002713134113467852,34
68_research_material_stack,redshift_bin,9,57735,0.0,0
68_research_material_stack,g_i_bin,0,57735,0.0012852672313241609,11
68_research_material_stack,g_i_bin,1,57735,0.0008708297738452275,16
68_research_material_stack,g_i_bin,2,57734,0.0004856085475823946,36
68_research_material_stack,g_i_bin,3,57735,9.948223437772352e-05,59
68_research_material_stack,g_i_bin,4,57735,-0.00012819929912932793,24
68_research_material_stack,g_i_bin,5,57734,-0.000637243139874677,26
68_research_material_stack,g_i_bin,6,57735,3.591115580059423e-05,18
68_research_material_stack,g_i_bin,7,57734,-0.00018787502615236207,12
68_research_material_stack,g_i_bin,8,57735,2.3711291316841354e-05,6
68_research_material_stack,g_i_bin,9,57735,3.591244545797512e-05,6
68_research_material_stack,u_r_bin,0,57735,0.0011963084344868147,24
68_research_material_stack,u_r_bin,1,57735,0.00042061196880549545,31
68_research_material_stack,u_r_bin,2,57734,0.0002749501648557917,24
68_research_material_stack,u_r_bin,3,57735,6.3210650398271e-05,33
68_research_material_stack,u_r_bin,4,57735,4.6313854074275795e-05,21
68_research_material_stack,u_r_bin,5,57734,-1.9136000921182728e-05,12
68_research_material_stack,u_r_bin,6,57735,-0.000697731102518806,18
68_research_material_stack,u_r_bin,7,57734,-0.00027196047687294556,15
68_research_material_stack,u_r_bin,8,57735,-1.9049126349202083e-05,18
68_research_material_stack,u_r_bin,9,57735,-0.00046844993632366716,18
68_research_material_stack,mag_range_bin,0,57735,0.001224570010392001,12
68_research_material_stack,mag_range_bin,1,57735,0.0008154536730471396,23
68_research_material_stack,mag_range_bin,2,57734,0.0004545240025448649,37
68_research_material_stack,mag_range_bin,3,57735,0.00011923677633718377,46
68_research_material_stack,mag_range_bin,4,57735,-0.0002423444692108978,28
68_research_material_stack,mag_range_bin,5,57734,3.738387633411833e-05,10
68_research_material_stack,mag_range_bin,6,57735,-0.00037982542307590794,8
68_research_material_stack,mag_range_bin,7,57734,-0.00034732740719256583,18
68_research_material_stack,mag_range_bin,8,57735,-0.0005148296505351757,21
68_research_material_stack,mag_range_bin,9,57735,1.7943656917318584e-05,11
69_guarded_research_stack,spectral_type,A/F,122122,0.0011742482209822214,238
69_guarded_research_stack,spectral_type,G/K,108546,-6.873302570431505e-07,220
69_guarded_research_stack,spectral_type,M,303323,-0.0003246090123880663,123
69_guarded_research_stack,spectral_type,O/B,43356,0.0021310697078394947,61
69_guarded_research_stack,spectral_population,A/F_Blue_Cloud,111542,0.0012855841448681238,225
69_guarded_research_stack,spectral_population,A/F_Red_Sequence,10580,0.0007962593781398741,13
69_guarded_research_stack,spectral_population,G/K_Blue_Cloud,63918,0.00043876926943708927,170
69_guarded_research_stack,spectral_population,G/K_Red_Sequence,44628,-0.00043255081959736597,50
69_guarded_research_stack,spectral_population,M_Blue_Cloud,40106,-0.0006317765363712535,41
69_guarded_research_stack,spectral_population,M_Red_Sequence,263217,-2.5426883744739115e-05,82
69_guarded_research_stack,spectral_population,O/B_Blue_Cloud,42216,0.0023139845662013547,59
69_guarded_research_stack,spectral_population,O/B_Red_Sequence,1140,-0.0033103764921946777,2
69_guarded_research_stack,redshift_bin,0,57735,0.00034435822986489395,39
69_guarded_research_stack,redshift_bin,1,57735,-0.0005593466131083025,47
69_guarded_research_stack,redshift_bin,2,57734,-8.484019340437854e-05,40
69_guarded_research_stack,redshift_bin,3,57735,-0.0018526838606068852,91
69_guarded_research_stack,redshift_bin,4,57735,-0.0003199524999840664,35
69_guarded_research_stack,redshift_bin,5,57734,-0.0003980681227027105,45
69_guarded_research_stack,redshift_bin,6,57735,-0.0015378396299339236,64
69_guarded_research_stack,redshift_bin,7,57734,-7.637695161788471e-05,95
69_guarded_research_stack,redshift_bin,8,57735,0.000947943106790472,186
69_guarded_research_stack,redshift_bin,9,57735,0.0,0
69_guarded_research_stack,g_i_bin,0,57735,0.0032956872537133197,48
69_guarded_research_stack,g_i_bin,1,57735,0.0012860704654067412,76
69_guarded_research_stack,g_i_bin,2,57734,0.0017814808552120143,145
69_guarded_research_stack,g_i_bin,3,57735,-0.00011220449126825294,186
69_guarded_research_stack,g_i_bin,4,57735,0.000836780256281644,85
69_guarded_research_stack,g_i_bin,5,57734,-0.00017970769847719392,38
69_guarded_research_stack,g_i_bin,6,57735,4.788154106749598e-05,24
69_guarded_research_stack,g_i_bin,7,57734,-0.00017004303913392693,17
69_guarded_research_stack,g_i_bin,8,57735,-0.0012886246666883316,9
69_guarded_research_stack,g_i_bin,9,57735,-0.0004646118919251485,14
69_guarded_research_stack,u_r_bin,0,57735,0.0021167557285273197,102
69_guarded_research_stack,u_r_bin,1,57735,0.001466744005691023,144
69_guarded_research_stack,u_r_bin,2,57734,0.0003973986406151653,122
69_guarded_research_stack,u_r_bin,3,57735,0.00012292632047850027,95
69_guarded_research_stack,u_r_bin,4,57735,-5.437167338251392e-05,47
69_guarded_research_stack,u_r_bin,5,57734,-0.00043924559474417535,26
69_guarded_research_stack,u_r_bin,6,57735,-0.000704081881441887,33
69_guarded_research_stack,u_r_bin,7,57734,-0.00014975380376702763,23
69_guarded_research_stack,u_r_bin,8,57735,-6.416164424982718e-06,26
69_guarded_research_stack,u_r_bin,9,57735,0.00041788993660474283,24
69_guarded_research_stack,mag_range_bin,0,57735,0.004008228994433094,41
69_guarded_research_stack,mag_range_bin,1,57735,0.002138209742027941,129
69_guarded_research_stack,mag_range_bin,2,57734,0.0009698475081458824,185
69_guarded_research_stack,mag_range_bin,3,57735,0.00040279788633990066,125
69_guarded_research_stack,mag_range_bin,4,57735,-0.0003276181917003518,52
69_guarded_research_stack,mag_range_bin,5,57734,-0.0002946220216757389,18
69_guarded_research_stack,mag_range_bin,6,57735,-0.00037982542307590794,18
69_guarded_research_stack,mag_range_bin,7,57734,-0.0005165471370842667,29
69_guarded_research_stack,mag_range_bin,8,57735,0.00022531578050932755,29
69_guarded_research_stack,mag_range_bin,9,57735,0.0009932972316637478,16
84_classwise_research_blend,spectral_type,A/F,122122,0.0004975328236398457,62
84_classwise_research_blend,spectral_type,G/K,108546,-3.7546134650567886e-05,85
84_classwise_research_blend,spectral_type,M,303323,-0.0001416121889492583,97
84_classwise_research_blend,spectral_type,O/B,43356,0.0009366080655339726,15
84_classwise_research_blend,spectral_population,A/F_Blue_Cloud,111542,0.0005546851658498886,58
84_classwise_research_blend,spectral_population,A/F_Red_Sequence,10580,0.00014590953608761836,4
84_classwise_research_blend,spectral_population,G/K_Blue_Cloud,63918,9.76751623630312e-05,52
84_classwise_research_blend,spectral_population,G/K_Red_Sequence,44628,-0.00042260413383310436,33
84_classwise_research_blend,spectral_population,M_Blue_Cloud,40106,-0.0003797778928653628,12
84_classwise_research_blend,spectral_population,M_Red_Sequence,263217,2.1820476412415246e-05,85
84_classwise_research_blend,spectral_population,O/B_Blue_Cloud,42216,0.0009710327369266691,15
84_classwise_research_blend,spectral_population,O/B_Red_Sequence,1140,0.0,0
84_classwise_research_blend,redshift_bin,0,57735,0.0003943948658131635,55
84_classwise_research_blend,redshift_bin,1,57735,-0.00047891226764285033,61
84_classwise_research_blend,redshift_bin,2,57734,-0.00024365974223050646,53
84_classwise_research_blend,redshift_bin,3,57735,-0.00048021191025693355,13
84_classwise_research_blend,redshift_bin,4,57735,4.212173180495604e-05,8
84_classwise_research_blend,redshift_bin,5,57734,-0.00017776935832813923,11
84_classwise_research_blend,redshift_bin,6,57735,-0.0001411120892047535,13
84_classwise_research_blend,redshift_bin,7,57734,-8.825255783395658e-05,11
84_classwise_research_blend,redshift_bin,8,57735,0.0002713134113467852,34
84_classwise_research_blend,redshift_bin,9,57735,0.0,0
84_classwise_research_blend,g_i_bin,0,57735,0.0013085057514952148,14
84_classwise_research_blend,g_i_bin,1,57735,0.0008612898827907722,17
84_classwise_research_blend,g_i_bin,2,57734,0.0005163531826436474,39
84_classwise_research_blend,g_i_bin,3,57735,0.00013105088039855328,69
84_classwise_research_blend,g_i_bin,4,57735,-0.00012159667788869122,31
84_classwise_research_blend,g_i_bin,5,57734,-0.00048618566003688635,34
84_classwise_research_blend,g_i_bin,6,57735,4.788154106749598e-05,20
84_classwise_research_blend,g_i_bin,7,57734,5.9439956727747045e-05,14
84_classwise_research_blend,g_i_bin,8,57735,-0.00024316887948638843,11
84_classwise_research_blend,g_i_bin,9,57735,5.9854075763254855e-05,10
84_classwise_research_blend,u_r_bin,0,57735,0.0016890406345361209,27
84_classwise_research_blend,u_r_bin,1,57735,0.00036399550730259467,33
84_classwise_research_blend,u_r_bin,2,57734,0.00029294969686810557,25
84_classwise_research_blend,u_r_bin,3,57735,3.00001957470597e-05,36
84_classwise_research_blend,u_r_bin,4,57735,3.872343318556126e-05,24
84_classwise_research_blend,u_r_bin,5,57734,7.869368483193195e-05,20
84_classwise_research_blend,u_r_bin,6,57735,-0.0006596264289807641,26
84_classwise_research_blend,u_r_bin,7,57734,-0.00025928017888599,21
84_classwise_research_blend,u_r_bin,8,57735,-1.9049126349202083e-05,24
84_classwise_research_blend,u_r_bin,9,57735,-0.0004381590223860865,23
84_classwise_research_blend,mag_range_bin,0,57735,0.001345121305541097,15
84_classwise_research_blend,mag_range_bin,1,57735,0.0008154536730471396,24
84_classwise_research_blend,mag_range_bin,2,57734,0.0004965982636155886,39
84_classwise_research_blend,mag_range_bin,3,57735,8.888684158958604e-05,56
84_classwise_research_blend,mag_range_bin,4,57735,-0.00020907102807166122,31
84_classwise_research_blend,mag_range_bin,5,57734,0.00017453115683707665,14
84_classwise_research_blend,mag_range_bin,6,57735,-0.000386007765070695,11
84_classwise_research_blend,mag_range_bin,7,57734,-0.0003287610976179245,29
84_classwise_research_blend,mag_range_bin,8,57735,-0.0004963145607370656,26
84_classwise_research_blend,mag_range_bin,9,57735,3.588731383463717e-05,14
90_subset_guard_68_plus_84,spectral_type,A/F,122122,0.0005671227116363919,59
90_subset_guard_68_plus_84,spectral_type,G/K,108546,-5.9181673186081696e-05,72
90_subset_guard_68_plus_84,spectral_type,M,303323,-0.0001416121889492583,97
90_subset_guard_68_plus_84,spectral_type,O/B,43356,0.000843757554856106,14
90_subset_guard_68_plus_84,spectral_population,A/F_Blue_Cloud,111542,0.0006361886571225606,55
90_subset_guard_68_plus_84,spectral_population,A/F_Red_Sequence,10580,0.00014590953608761836,4
90_subset_guard_68_plus_84,spectral_population,G/K_Blue_Cloud,63918,9.76751623630312e-05,47
90_subset_guard_68_plus_84,spectral_population,G/K_Red_Sequence,44628,-0.00046239087689037284,25
90_subset_guard_68_plus_84,spectral_population,M_Blue_Cloud,40106,-0.0003797778928653628,12
90_subset_guard_68_plus_84,spectral_population,M_Red_Sequence,263217,2.1820476412415246e-05,85
90_subset_guard_68_plus_84,spectral_population,O/B_Blue_Cloud,42216,0.0008749435661762339,14
90_subset_guard_68_plus_84,spectral_population,O/B_Red_Sequence,1140,0.0,0
90_subset_guard_68_plus_84,redshift_bin,0,57735,0.0003737920267419259,47
90_subset_guard_68_plus_84,redshift_bin,1,57735,-0.00047891226764285033,57
90_subset_guard_68_plus_84,redshift_bin,2,57734,2.267277177991911e-05,50
90_subset_guard_68_plus_84,redshift_bin,3,57735,-0.0004862530747516969,12
90_subset_guard_68_plus_84,redshift_bin,4,57735,4.212173180495604e-05,7
90_subset_guard_68_plus_84,redshift_bin,5,57734,-0.00017776935832813923,11
90_subset_guard_68_plus_84,redshift_bin,6,57735,-0.0001411120892047535,13
90_subset_guard_68_plus_84,redshift_bin,7,57734,-8.825255783395658e-05,11
90_subset_guard_68_plus_84,redshift_bin,8,57735,0.0002713134113467852,34
90_subset_guard_68_plus_84,redshift_bin,9,57735,0.0,0
90_subset_guard_68_plus_84,g_i_bin,0,57735,0.0013085057514952148,13
90_subset_guard_68_plus_84,g_i_bin,1,57735,0.0008887615255980252,17
90_subset_guard_68_plus_84,g_i_bin,2,57734,0.0004856085475823946,36
90_subset_guard_68_plus_84,g_i_bin,3,57735,0.0001415737624053115,61
90_subset_guard_68_plus_84,g_i_bin,4,57735,-0.00012159667788869122,27
90_subset_guard_68_plus_84,g_i_bin,5,57734,-0.0004923060230968002,33
90_subset_guard_68_plus_84,g_i_bin,6,57735,4.788154106749598e-05,20
90_subset_guard_68_plus_84,g_i_bin,7,57734,5.9439956727747045e-05,14
90_subset_guard_68_plus_84,g_i_bin,8,57735,-0.00024316887948638843,11
90_subset_guard_68_plus_84,g_i_bin,9,57735,5.9854075763254855e-05,10
90_subset_guard_68_plus_84,u_r_bin,0,57735,0.0016890406345361209,27
90_subset_guard_68_plus_84,u_r_bin,1,57735,0.00042061196880549545,31
90_subset_guard_68_plus_84,u_r_bin,2,57734,0.0002749501648557917,24
90_subset_guard_68_plus_84,u_r_bin,3,57735,6.3210650398271e-05,31
90_subset_guard_68_plus_84,u_r_bin,4,57735,5.390427496310135e-05,22
90_subset_guard_68_plus_84,u_r_bin,5,57734,5.902026362392121e-05,17
90_subset_guard_68_plus_84,u_r_bin,6,57735,-0.000665977207903623,23
90_subset_guard_68_plus_84,u_r_bin,7,57734,-0.00026562032787946777,20
90_subset_guard_68_plus_84,u_r_bin,8,57735,-1.9049126349202083e-05,24
90_subset_guard_68_plus_84,u_r_bin,9,57735,-0.0004381590223860865,23
90_subset_guard_68_plus_84,mag_range_bin,0,57735,0.0014781518539319638,15
90_subset_guard_68_plus_84,mag_range_bin,1,57735,0.0008154536730471396,23
90_subset_guard_68_plus_84,mag_range_bin,2,57734,0.0004545240025448649,37
90_subset_guard_68_plus_84,mag_range_bin,3,57735,0.0001394700661689896,48
90_subset_guard_68_plus_84,mag_range_bin,4,57735,-0.00022238040452737806,27
90_subset_guard_68_plus_84,mag_range_bin,5,57734,0.00016830051078142727,13
90_subset_guard_68_plus_84,mag_range_bin,6,57735,-0.0003921901070654821,10
90_subset_guard_68_plus_84,mag_range_bin,7,57734,-0.0003287610976179245,29
90_subset_guard_68_plus_84,mag_range_bin,8,57735,-0.0004963145607370656,26
90_subset_guard_68_plus_84,mag_range_bin,9,57735,3.588731383463717e-05,14
