name,operation,source,class,alpha,mask,fallback,oof_balanced_accuracy,delta_vs_reference,delta_vs_start,changed_rows_vs_reference,changed_rows_vs_start,test_changed_rows_vs_reference,test_changed_rows_vs_start,worst_subset_delta_vs_reference,worst_class_recall_delta_vs_reference,worst_class_recall_delta_vs_start,quick_robust_score,meta_fold_mean_delta_vs_reference,meta_fold_min_delta_vs_reference,meta_fold_positive_rate_vs_reference,meta_fold_mean_delta_vs_start,meta_fold_min_delta_vs_start,meta_fold_positive_rate_vs_start,final_robust_score
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,classblend,our-ovr-catboost-realmlp-features,GALAXY,0.005,,,0.9706589608099554,8.63677129393503e-05,2.6491469746758867e-06,192,3,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.821687686631884e-05,8.636771913689648e-05,1.0266650294576962e-05,1.0,2.6491469746740363e-06,0.0,0.5,4.776471707279074e-05
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,classblend,our-classwise-logistic-blender,GALAXY,0.005,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,classblend,our-classwise-logistic-blender,GALAXY,0.01,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-classwise-logistic-blender_STAR_a0p0050,classblend,our-classwise-logistic-blender,STAR,0.005,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-classwise-logistic-blender_STAR_a0p0100,classblend,our-classwise-logistic-blender,STAR,0.01,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,classblend,our-ovr-catboost-realmlp-features,STAR,0.005,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,classblend,90_subset_guard_68_plus_84,GALAXY,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,classblend,90_subset_guard_68_plus_84,GALAXY,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,classblend,90_subset_guard_68_plus_84,STAR,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,classblend,90_subset_guard_68_plus_84,STAR,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0050,classblend,84_classwise_research_blend,GALAXY,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0100,classblend,84_classwise_research_blend,GALAXY,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0150,classblend,84_classwise_research_blend,GALAXY,0.015,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0200,classblend,84_classwise_research_blend,GALAXY,0.02,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0250,classblend,84_classwise_research_blend,GALAXY,0.025,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_STAR_a0p0050,classblend,84_classwise_research_blend,STAR,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_STAR_a0p0100,classblend,84_classwise_research_blend,STAR,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_STAR_a0p0150,classblend,84_classwise_research_blend,STAR,0.015,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_84_classwise_research_blend_STAR_a0p0200,classblend,84_classwise_research_blend,STAR,0.02,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_85_classwise_research_blend_69start_QSO_a0p0050,classblend,85_classwise_research_blend_69start,QSO,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115378108e-05,1.0266650294576962e-05,1.0,8.830489915586289e-07,0.0,0.2,4.578715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0050,classblend,68_research_material_stack,GALAXY,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0100,classblend,68_research_material_stack,GALAXY,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_68_research_material_stack_STAR_a0p0050,classblend,68_research_material_stack,STAR,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_68_research_material_stack_STAR_a0p0100,classblend,68_research_material_stack,STAR,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_69_guarded_research_stack_QSO_a0p0050,classblend,69_guarded_research_stack,QSO,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115378108e-05,1.0266650294576962e-05,1.0,8.830489915586289e-07,0.0,0.2,4.578715609311889e-05
classblend_lr-stacker-v9-public-oof_QSO_a0p0050,classblend,lr-stacker-v9-public-oof,QSO,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115378108e-05,1.0266650294576962e-05,1.0,8.830489915586289e-07,0.0,0.2,4.578715609311889e-05
rollback_weak_ob_to_84_classwise_research_blend,rollback,,,0.0,weak_ob,84_classwise_research_blend,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115378108e-05,1.0266650294576962e-05,1.0,8.830489915586289e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0150,classblend,90_subset_guard_68_plus_84,GALAXY,0.015,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0200,classblend,90_subset_guard_68_plus_84,GALAXY,0.02,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0250,classblend,90_subset_guard_68_plus_84,GALAXY,0.025,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0150,classblend,90_subset_guard_68_plus_84,STAR,0.015,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0200,classblend,90_subset_guard_68_plus_84,STAR,0.02,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0250,classblend,90_subset_guard_68_plus_84,STAR,0.025,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0300,classblend,84_classwise_research_blend,GALAXY,0.030000000000000002,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0350,classblend,84_classwise_research_blend,GALAXY,0.034999999999999996,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_84_classwise_research_blend_GALAXY_a0p0400,classblend,84_classwise_research_blend,GALAXY,0.04,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0150,classblend,68_research_material_stack,GALAXY,0.015,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0200,classblend,68_research_material_stack,GALAXY,0.02,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0250,classblend,68_research_material_stack,GALAXY,0.025,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_68_research_material_stack_STAR_a0p0150,classblend,68_research_material_stack,STAR,0.015,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_68_research_material_stack_STAR_a0p0200,classblend,68_research_material_stack,STAR,0.02,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_68_research_material_stack_STAR_a0p0250,classblend,68_research_material_stack,STAR,0.025,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,85,1,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.6335047384942794e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.576715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0300,classblend,90_subset_guard_68_plus_84,GALAXY,0.030000000000000002,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0350,classblend,90_subset_guard_68_plus_84,GALAXY,0.034999999999999996,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0300,classblend,90_subset_guard_68_plus_84,STAR,0.030000000000000002,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0350,classblend,90_subset_guard_68_plus_84,STAR,0.034999999999999996,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0300,classblend,68_research_material_stack,GALAXY,0.030000000000000002,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_68_research_material_stack_GALAXY_a0p0350,classblend,68_research_material_stack,GALAXY,0.034999999999999996,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_68_research_material_stack_STAR_a0p0300,classblend,68_research_material_stack,STAR,0.030000000000000002,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_68_research_material_stack_STAR_a0p0350,classblend,68_research_material_stack,STAR,0.034999999999999996,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,86,2,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63150473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.574715609311889e-05
classblend_our-classwise-logistic-blender_GALAXY_a0p0400,classblend,our-classwise-logistic-blender,GALAXY,0.04,,,0.9706535510300567,8.095793304063736e-05,-2.760632924037054e-06,199,12,84,4,-0.00013929755898334228,-9.390232450934288e-05,-2.4176780619833416e-05,5.2862828465901706e-05,8.095791487780502e-05,1.6645189544362005e-05,1.0,-2.7606572844174337e-06,-3.587890231737667e-05,0.43333333333333335,4.475888890809418e-05
rollback_weak_gk_red_to_56_te_disagreement,rollback,,,0.0,weak_gk_red,56_te_disagreement,0.9706576919794426,8.509888242658192e-05,1.3803164619075048e-06,185,4,82,2,-0.0001416121889492583,-9.390232450934288e-05,-7.94744092402766e-06,5.6812314855254666e-05,8.50988602115077e-05,5.851405336709803e-06,1.0,1.3802880492852499e-06,-8.830489915623296e-06,0.2,4.469908782817727e-05
classblend_our-classwise-logistic-blender_GALAXY_a0p0200,classblend,our-classwise-logistic-blender,GALAXY,0.02,,,0.9706540482975271,8.145520051106026e-05,-2.2633654536141634e-06,194,5,86,2,-0.0001404548739663003,-9.390232450934288e-05,-1.2088390309972219e-05,5.328436443802879e-05,8.145521482490851e-05,1.46818952523331e-05,1.0,-2.2633573373139387e-06,-2.0148291424937348e-05,0.35,4.4377540379715346e-05
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,classblend,our-ovr-catboost-realmlp-features,GALAXY,0.01,,,0.9706575804934934,8.498739647733178e-05,1.2688305126573596e-06,196,11,83,3,-0.00016735182347038524,-9.390232450934288e-05,-1.2088390309972219e-05,5.410686545389182e-05,8.498741079114858e-05,1.9097140210089236e-05,1.0,1.2688386289261278e-06,-2.4562318595378052e-05,0.48333333333333334,4.405568218038453e-05
classblend_90_subset_guard_68_plus_84_QSO_a0p0050,classblend,90_subset_guard_68_plus_84,QSO,0.005,,,0.9706563116629807,8.371856596467442e-05,0.0,189,0,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.547199839334716e-05,8.371857216222245e-05,5.851405336709803e-06,1.0,0.0,0.0,0.0,4.335877136626976e-05
classblend_90_subset_guard_68_plus_84_QSO_a0p0100,classblend,90_subset_guard_68_plus_84,QSO,0.01,,,0.9706563116629807,8.371856596467442e-05,0.0,189,0,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.547199839334716e-05,8.371857216222245e-05,5.851405336709803e-06,1.0,0.0,0.0,0.0,4.335877136626976e-05
classblend_90_subset_guard_68_plus_84_QSO_a0p0150,classblend,90_subset_guard_68_plus_84,QSO,0.015,,,0.9706563116629807,8.371856596467442e-05,0.0,189,0,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.547199839334716e-05,8.371857216222245e-05,5.851405336709803e-06,1.0,0.0,0.0,0.0,4.335877136626976e-05
classblend_90_subset_guard_68_plus_84_QSO_a0p0200,classblend,90_subset_guard_68_plus_84,QSO,0.02,,,0.9706563116629807,8.371856596467442e-05,0.0,189,0,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.547199839334716e-05,8.371857216222245e-05,5.851405336709803e-06,1.0,0.0,0.0,0.0,4.335877136626976e-05
classblend_90_subset_guard_68_plus_84_QSO_a0p0250,classblend,90_subset_guard_68_plus_84,QSO,0.025,,,0.9706563116629807,8.371856596467442e-05,0.0,189,0,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.547199839334716e-05,8.371857216222245e-05,5.851405336709803e-06,1.0,0.0,0.0,0.0,4.335877136626976e-05
classblend_84_classwise_research_blend_QSO_a0p0050,classblend,84_classwise_research_blend,QSO,0.005,,,0.9706563116629807,8.371856596467442e-05,0.0,189,0,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.547199839334716e-05,8.371857216222245e-05,5.851405336709803e-06,1.0,0.0,0.0,0.0,4.335877136626976e-05
